Entity,Code,Year,Low-carbon energy (% equivalent primary energy)
Africa,,1965,5.747494697570801
Africa,,1966,6.122061729431152
Africa,,1967,6.325730800628662
Africa,,1968,7.005292892456055
Africa,,1969,7.956087589263916
Africa,,1970,
Africa,,1971,8.131307601928711
Africa,,1972,8.747766494750977
Africa,,1973,8.542280197143555
Africa,,1974,9.268067359924316
Africa,,1975,9.238402366638184
Africa,,1976,9.416414260864258
Africa,,1977,9.803298950195312
Africa,,1978,9.519680976867676
Africa,,1979,9.35092830657959
Africa,,1980,8.48603630065918
Africa,,1981,7.859501838684082
Africa,,1982,7.378184795379639
Africa,,1983,6.456583023071289
Africa,,1984,6.6778883934021
Africa,,1985,7.254730701446533
Africa,,1986,7.796772003173828
Africa,,1987,6.976686477661133
Africa,,1988,7.530003070831299
Africa,,1989,7.8931050300598145
Africa,,1990,7.485422611236572
Africa,,1991,7.955136299133301
Africa,,1992,7.546756267547607
Africa,,1993,7.1962385177612305
Africa,,1994,7.291601657867432
Africa,,1995,7.404016017913818
Africa,,1996,7.549602508544922
Africa,,1997,7.647135257720947
Africa,,1998,7.9263081550598145
Africa,,1999,7.9980573654174805
Africa,,2000,8.325679779052734
Africa,,2001,8.324426651000977
Africa,,2002,8.600308418273926
Africa,,2003,8.037150382995605
Africa,,2004,7.90875244140625
Africa,,2005,7.815120220184326
Africa,,2006,7.829747200012207
Africa,,2007,7.773327827453613
Africa,,2008,7.538750648498535
Africa,,2009,7.568111419677734
Africa,,2010,7.9087724685668945
Africa,,2011,7.984251022338867
Africa,,2012,7.719410419464111
Africa,,2013,7.96345853805542
Africa,,2014,8.236089706420898
Africa,,2015,8.090261459350586
Africa,,2016,8.052142143249512
Africa,,2017,8.421670913696289
Africa,,2018,8.710136413574219
Africa,,2019,9.178542137145996
Africa,,2020,10.29439926147461
Africa,,2021,10.027145385742188
Africa (BP),,1965,5.747495651245117
Africa (BP),,1966,6.1220622062683105
Africa (BP),,1967,6.325730800628662
Africa (BP),,1968,7.005292892456055
Africa (BP),,1969,7.956087589263916
Africa (BP),,1970,9.16205883026123
Africa (BP),,1971,8.131307601928711
Africa (BP),,1972,8.747766494750977
Africa (BP),,1973,8.542280197143555
Africa (BP),,1974,9.268067359924316
Africa (BP),,1975,9.238402366638184
Africa (BP),,1976,9.416413307189941
Africa (BP),,1977,9.803298950195312
Africa (BP),,1978,9.519680976867676
Africa (BP),,1979,9.35092830657959
Africa (BP),,1980,8.486035346984863
Africa (BP),,1981,7.859501838684082
Africa (BP),,1982,7.378184795379639
Africa (BP),,1983,6.456583023071289
Africa (BP),,1984,6.6778883934021
Africa (BP),,1985,7.254730701446533
Africa (BP),,1986,7.796772480010986
Africa (BP),,1987,6.976686477661133
Africa (BP),,1988,7.530003070831299
Africa (BP),,1989,7.8931050300598145
Africa (BP),,1990,7.485422611236572
Africa (BP),,1991,7.955136775970459
Africa (BP),,1992,7.546756267547607
Africa (BP),,1993,7.1962385177612305
Africa (BP),,1994,7.291601657867432
Africa (BP),,1995,7.404016494750977
Africa (BP),,1996,7.549602508544922
Africa (BP),,1997,7.647135257720947
Africa (BP),,1998,7.9263081550598145
Africa (BP),,1999,7.9980573654174805
Africa (BP),,2000,8.325679779052734
Africa (BP),,2001,8.32442569732666
Africa (BP),,2002,8.614852905273438
Africa (BP),,2003,8.052451133728027
Africa (BP),,2004,7.925556659698486
Africa (BP),,2005,7.82151460647583
Africa (BP),,2006,7.831613063812256
Africa (BP),,2007,7.793010234832764
Africa (BP),,2008,7.55306339263916
Africa (BP),,2009,7.575967788696289
Africa (BP),,2010,7.913494110107422
Africa (BP),,2011,7.9954609870910645
Africa (BP),,2012,7.73239278793335
Africa (BP),,2013,7.975709438323975
Africa (BP),,2014,8.247605323791504
Africa (BP),,2015,8.104400634765625
Africa (BP),,2016,8.064459800720215
Africa (BP),,2017,8.433497428894043
Africa (BP),,2018,8.728120803833008
Africa (BP),,2019,9.193734169006348
Africa (BP),,2020,10.314176559448242
Africa (BP),,2021,10.046248435974121
Algeria,DZA,1965,4.763067722320557
Algeria,DZA,1966,3.518747091293335
Algeria,DZA,1967,4.2919535636901855
Algeria,DZA,1968,5.486194610595703
Algeria,DZA,1969,3.1827635765075684
Algeria,DZA,1970,4.665683746337891
Algeria,DZA,1971,2.455918788909912
Algeria,DZA,1972,3.278343439102173
Algeria,DZA,1973,4.175826072692871
Algeria,DZA,1974,2.4947381019592285
Algeria,DZA,1975,1.378281831741333
Algeria,DZA,1976,1.4010223150253296
Algeria,DZA,1977,0.8817282319068909
Algeria,DZA,1978,0.6521151065826416
Algeria,DZA,1979,0.5792936086654663
Algeria,DZA,1980,0.4290015995502472
Algeria,DZA,1981,0.50294029712677
Algeria,DZA,1982,0.570870041847229
Algeria,DZA,1983,0.25644946098327637
Algeria,DZA,1984,0.5136735439300537
Algeria,DZA,1985,0.7282653450965881
Algeria,DZA,1986,0.26640447974205017
Algeria,DZA,1987,0.5174273252487183
Algeria,DZA,1988,0.17717435956001282
Algeria,DZA,1989,0.22495822608470917
Algeria,DZA,1990,0.12673869729042053
Algeria,DZA,1991,0.2776069939136505
Algeria,DZA,1992,0.1837574690580368
Algeria,DZA,1993,0.35028013586997986
Algeria,DZA,1994,0.1625789850950241
Algeria,DZA,1995,0.182247593998909
Algeria,DZA,1996,0.12880340218544006
Algeria,DZA,1997,0.07445590198040009
Algeria,DZA,1998,0.20617961883544922
Algeria,DZA,1999,0.1927434206008911
Algeria,DZA,2000,0.053235482424497604
Algeria,DZA,2001,0.065218485891819
Algeria,DZA,2002,0.05167676880955696
Algeria,DZA,2003,0.22810399532318115
Algeria,DZA,2004,0.2067869007587433
Algeria,DZA,2005,0.43411877751350403
Algeria,DZA,2006,0.1632719486951828
Algeria,DZA,2007,0.1599045693874359
Algeria,DZA,2008,0.1877543032169342
Algeria,DZA,2009,0.2127854824066162
Algeria,DZA,2010,0.11513237655162811
Algeria,DZA,2011,0.23525990545749664
Algeria,DZA,2012,0.22453194856643677
Algeria,DZA,2013,0.06476319581270218
Algeria,DZA,2014,0.11750246584415436
Algeria,DZA,2015,0.09681336581707001
Algeria,DZA,2016,0.14580711722373962
Algeria,DZA,2017,0.24701829254627228
Algeria,DZA,2018,0.2876792848110199
Algeria,DZA,2019,0.2947469651699066
Algeria,DZA,2020,0.29789942502975464
Algeria,DZA,2021,0.2613673508167267
Argentina,ARG,1965,1.1027235984802246
Argentina,ARG,1966,1.0818976163864136
Argentina,ARG,1967,1.0765652656555176
Argentina,ARG,1968,1.2273393869400024
Argentina,ARG,1969,1.0651699304580688
Argentina,ARG,1970,1.3534115552902222
Argentina,ARG,1971,1.2703214883804321
Argentina,ARG,1972,1.2349965572357178
Argentina,ARG,1973,2.2836952209472656
Argentina,ARG,1974,4.342878818511963
Argentina,ARG,1975,5.63436222076416
Argentina,ARG,1976,5.281071186065674
Argentina,ARG,1977,4.961500644683838
Argentina,ARG,1978,7.086462497711182
Argentina,ARG,1979,8.311460494995117
Argentina,ARG,1980,10.95965576171875
Argentina,ARG,1981,11.286154747009277
Argentina,ARG,1982,12.366887092590332
Argentina,ARG,1983,13.290648460388184
Argentina,ARG,1984,14.834033966064453
Argentina,ARG,1985,16.15656852722168
Argentina,ARG,1986,15.483119010925293
Argentina,ARG,1987,15.696935653686523
Argentina,ARG,1988,11.460010528564453
Argentina,ARG,1989,10.285797119140625
Argentina,ARG,1990,14.319891929626465
Argentina,ARG,1991,13.302986145019531
Argentina,ARG,1992,13.799196243286133
Argentina,ARG,1993,16.02237319946289
Argentina,ARG,1994,17.144929885864258
Argentina,ARG,1995,15.727041244506836
Argentina,ARG,1996,13.446004867553711
Argentina,ARG,1997,15.912371635437012
Argentina,ARG,1998,14.55415153503418
Argentina,ARG,1999,12.123930931091309
Argentina,ARG,2000,14.792287826538086
Argentina,ARG,2001,18.853357315063477
Argentina,ARG,2002,18.740678787231445
Argentina,ARG,2003,17.410114288330078
Argentina,ARG,2004,15.107033729553223
Argentina,ARG,2005,15.177221298217773
Argentina,ARG,2006,15.987685203552246
Argentina,ARG,2007,12.869945526123047
Argentina,ARG,2008,12.7078275680542
Argentina,ARG,2009,14.35273551940918
Argentina,ARG,2010,13.831493377685547
Argentina,ARG,2011,12.792537689208984
Argentina,ARG,2012,11.999014854431152
Argentina,ARG,2013,12.60171127319336
Argentina,ARG,2014,12.501885414123535
Argentina,ARG,2015,12.732717514038086
Argentina,ARG,2016,12.313151359558105
Argentina,ARG,2017,12.534226417541504
Argentina,ARG,2018,13.171616554260254
Argentina,ARG,2019,14.22115707397461
Argentina,ARG,2020,15.22998046875
Argentina,ARG,2021,14.181902885437012
Asia,,1965,7.899460792541504
Asia,,1966,7.619677543640137
Asia,,1967,6.804108619689941
Asia,,1968,7.021827220916748
Asia,,1969,6.440308570861816
Asia,,1970,5.961887359619141
Asia,,1971,6.018142223358154
Asia,,1972,5.893601417541504
Asia,,1973,5.116771697998047
Asia,,1974,5.911405563354492
Asia,,1975,6.248549938201904
