Entity;Life expectancy - Sex: female - Age: at birth - Variant: estimates;Life expectancy - Sex: male - Age: at birth - Variant: estimates;Population - Sex: all - Age: all - Variant: estimates ;;;Continent
Afghanistan;62.4;59.3;28189672;;;
Albania;80.7;75.5;2913402;;;
Algeria;74.9;72.8;35856348;;;
American Samoa;74.3;70;54871;;;
Andorra;85.4;80.5;71542;;;
Angola;59;54.4;23364196;;;
Anguilla;81.2;74.5;13192;;;
Antigua and Barbuda;79.4;74;85710;;;
Argentina;78.8;72.5;41100124;;;
Armenia;77.4;68.6;2946296;;;
Aruba;78.6;72.1;100354;;;
Australia;84.2;79.8;22019166;;;
Austria;83.1;77.7;8362829;;;
Azerbaijan;72.8;66.3;9237203;;;
Bahamas;76.1;69.3;373277;;;
Bahrain;80;77.7;1213655;;;
Bangladesh;70.3;67.2;148391140;;;
Barbados;77.7;73.6;274717;;;
Belarus;77;65.5;9731426;;;
Belgium;82.6;77.4;10877948;;;
Belize;75.4;69.6;322115;;;
Benin;59.7;57;9445716;;;
Bermuda;85.3;75.9;63466;;;
Bhutan;70.1;67;705523;;;
Bolivia;68.7;63.8;10223277;;;
Bonaire Sint Eustatius and Saba;78.3;72.8;20245;;;
Bosnia and Herzegovina;79.7;74.3;3811093;;;
Botswana;61.8;58.1;2091666;;;
Brazil;76.6;69.8;196353500;;;
British Virgin Islands;78.2;72.9;27578;;;
Brunei;77.1;72.8;396064;;;
Bulgaria;77.4;70.4;7592271;;;
Burkina Faso;57.9;55;16116851;;;
Burundi;58.4;55.7;9126612;;;
Cambodia;69.8;65.4;14363534;;;
Cameroon;58;55.2;19878044;;;
Canada;83.5;79.1;33963416;;;
Cape Verde;78.1;69;521219;;;
Cayman Islands;78.8;73;54095;;;
Central African Republic;50.5;48.1;4660066;;;
Chad;50.8;48.4;11894734;;;
Chile;81.2;75.7;17004166;;;
China;78.3;73.1;1348191400;;;
Colombia;78.3;71.8;44816104;;;
Comoros;63.1;59.3;656032;;;
Congo;62.8;60.6;4437883;;;
Cook Islands;77.8;69.9;17237;;;
Costa Rica;81.1;76.3;4622250;;;
Cote d'Ivoire;56.2;53.9;21120040;;;
Croatia;80;73.6;4368680;;;
Cuba;80;75.5;11290420;;;
Curacao;78;71.4;159392;;;
Cyprus;82;77.4;1129693;;;
Czechia;80.6;74.4;10464750;;;
Democratic Republic of Congo;58;54.8;66391260;;;
Denmark;81.3;77.1;5550850;;;
Djibouti;62.3;58.3;919206;;;
Dominica;74.9;68.7;68775;;;
Dominican Republic;75.7;68.9;9775756;;;
Ecuador;78.5;72.5;14989581;;;
Egypt;72.3;67.1;87252420;;;
El Salvador;76.2;67.2;6114039;;;
Equatorial Guinea;59.6;56.3;1094538;;;
Eritrea;65.5;62;3147733;;;
Estonia;80.4;70.7;1331535;;;
Eswatini;48.3;44.9;1099926;;;
Ethiopia;61.8;57.7;89237800;;;
Faeroe Islands;78.9;75.7;48432;;;
Falkland Islands;79.8;75.9;3206;;;
Fiji;69.3;65.5;905176;;;
Finland;83.2;76.7;5363279;;;
France;84.7;78;62444570;;;
French Guiana;79.1;72.8;228469;;;
French Polynesia;83.8;78.6;283795;;;
Gabon;65.8;62.1;1711117;;;
Gambia;61.6;59.8;1937284;;;
Georgia;76.6;67.6;3836834;;;
Germany;82.6;77.4;81325090;;;
Ghana;62.5;59.8;25574722;;;
Gibraltar;84.1;77.8;31289;;;
Greece;83.4;77.7;11033784;;;
Greenland;73.8;67.8;56374;;;
Grenada;77.6;72.5;114058;;;
Guadeloupe;83.9;76.9;403073;;;
Guam;80.5;73.6;164916;;;
Guatemala;74.3;67.6;14543126;;;
Guernsey;84.4;80.3;60811;;;
Guinea;57.8;55.5;10270728;;;
Guinea-Bissau;58.4;53.9;1567226;;;
Guyana;70.2;63.6;747937;;;
Haiti;46.3;45.8;9842883;;;
Honduras;73.3;69;8450936;;;
Hong Kong;85.9;80.2;7132437;;;
Hungary;78.3;70.6;9986832;;;
Iceland;83.8;79.6;318346;;;
India;68.6;65.3;1240613600;;;
Indonesia;70.4;66.9;244016180;;;
Iran;75.7;70.6;75373864;;;
Iraq;70.1;63.9;31264880;;;
Ireland;82.7;78.3;4524581;;;
Isle of Man;81.4;76.6;83844;;;
Israel;83.6;79.8;7328439;;;
Italy;84.5;79.5;59822452;;;
Jamaica;74.7;70.6;2733904;;;
Japan;86.2;79.5;128105430;;;
Jersey;82.5;78;96164;;;
Jordan;76.1;72.1;6931263;;;
Kazakhstan;72.5;63.6;16627839;;;
Kenya;62.4;58.9;41517896;;;
Kiribati;66.6;63.2;108011;;;
Kosovo;80.3;75.1;1792559;;;
Kuwait;80.1;76.4;2943364;;;
Kyrgyzstan;72.2;64.3;5483781;;;
Laos;66.2;61.9;6323425;;;
Latvia;77.9;67.8;2101537;;;
Lebanon;79.9;76.1;4995799;;;
Lesotho;48.2;43.2;2022752;;;
Liberia;60.6;58.2;4019958;;;
Libya;74.9;70.2;6491991;;;
Liechtenstein;84.3;79.5;35948;;;
Lithuania;78.8;67.9;3139021;;;
Luxembourg;83.2;77.9;507075;;;
Macao;86.2;80;557307;;;
Madagascar;64.6;61.2;21731052;;;
Malawi;58.4;54.3;14718426;;;
Malaysia;77.1;72.1;28717728;;;
Maldives;78.8;76.8;361579;;;
Mali;57.3;55.5;15529183;;;
Malta;83.7;79.6;418758;;;
Marshall Islands;65.1;61.7;53431;;;
Martinique;84.7;78.1;392183;;;
Mauritania;64.7;61.5;3419462;;;
Mauritius;77.6;70.6;1283347;;;
Mayotte;80.4;74.6;211794;;;
Mexico;77.1;71.3;112532400;;;
Micronesia (country);74.4;68.2;107606;;;
Moldova;73.8;65;3678186;;;
Monaco;86.7;82.5;33203;;;
Mongolia;71.8;63;2702527;;;
Montenegro;78.9;73.3;631048;;;
Montserrat;75.5;73.3;4960;;;
Morocco;72.5;69.2;32464866;;;
Mozambique;55.8;52.4;23073732;;;
Myanmar;66.2;60.6;49390988;;;
Namibia;58.7;53.3;2099275;;;
Nauru;63.5;56.5;10262;;;
Nepal;68.6;65.1;27161572;;;
Netherlands;82.7;78.8;16617121;;;
New Caledonia;82.6;74.3;261435;;;
New Zealand;83;79.2;4346345;;;
Nicaragua;75.1;68.9;5855736;;;
Niger;59;57.7;16647545;;;
Nigeria;51.4;50.5;160952860;;;
Niue;70.5;66.6;1838;;;
North Korea;73.5;66.5;24686436;;;
North Macedonia;77.5;72.8;2093828;;;
Northern Mariana Islands;79.4;75.8;54109;;;
Norway;83.2;78.8;4889747;;;
Oman;78.5;74.6;2881915;;;
Pakistan;66.9;62.3;194454500;;;
Palau;68.7;63;18563;;;
Palestine;75.1;70.9;3992283;;;
Panama;79.7;73.3;3623622;;;
Papua New Guinea;65.3;61.3;7583269;;;
